"date","incidence"
2014-10-27,1.42791
2014-11-03,1.61605
2014-11-10,1.65976
2014-11-17,2.05459
2014-11-24,2.53541
2014-12-01,2.54253
2014-12-08,3.60563
2014-12-15,4.90976
2014-12-22,5.98221
2014-12-29,5.47421
2014-12-29,4.21374
2015-01-05,4.21022
2015-01-12,4.25968
2015-01-19,3.97761
2015-01-26,3.63443
2015-02-02,3.26527
2015-02-09,2.93083
2015-02-16,2.54474
2015-02-23,2.47227
2015-03-02,2.35665
2015-03-09,2.17008
2015-03-16,2.04297
2015-03-23,1.954
2015-03-30,1.72287
2015-04-06,1.53694
2015-04-13,1.38283
2015-04-20,1.46265
2015-04-27,1.38934
2015-05-04,1.3468
2015-05-11,1.25452
2015-05-18,1.21636
2015-05-25,1.16734
2015-06-01,1.04654
2015-06-08,0.943661
2015-06-15,0.935046
2015-06-22,0.934726
2015-06-29,0.864118
2015-07-06,0.806535
2015-07-13,0.742747
2015-07-20,0.737859
2015-07-27,0.743224
2015-08-03,0.805251
2015-08-10,0.816943
2015-08-17,0.814518
2015-08-24,0.86067
2015-08-31,0.886704
2015-09-07,1.00845
2015-09-14,1.06625
2015-09-21,1.05995
2015-09-28,1.2444
2015-10-05,1.31167
2015-10-12,1.36705
2015-10-19,1.37872
2015-10-26,1.44664
2015-11-02,1.51435
2015-11-09,1.60549
2015-11-16,1.91028
2015-11-23,1.68953
2015-11-30,1.79136
2015-12-07,1.88284
2015-12-14,2.32899
2015-12-21,2.42149
2016-01-04,1.952
2016-01-11,2.00295
2016-01-18,2.12477
2016-01-25,2.24537
2016-02-01,2.3839
2016-02-08,2.81135
2016-02-15,3.13597
2016-02-22,3.16087
2016-02-29,3.3327
2016-03-07,3.55722
2016-03-14,3.06024
2016-03-21,2.77036
2016-03-28,2.44031
2016-04-04,2.0237
2016-04-11,1.98334
2016-04-18,1.91625
2016-04-25,1.6998
2016-05-02,1.57581
2016-05-09,1.36919
2016-05-16,1.29911
2016-05-23,1.18694
2016-05-30,1.14538
2016-06-06,1.05087
2016-06-13,0.977529
2016-06-20,0.866988
2016-06-27,0.837187
2016-07-04,0.787578
2016-07-11,0.736881
2016-07-18,0.704598
2016-07-25,0.726978
2016-08-01,0.668299
2016-08-08,0.695724
2016-08-15,0.71389
2016-08-22,0.837038
2016-08-29,0.998705
2016-09-05,1.01943
2016-09-12,1.07556
2016-09-19,1.10612
2016-09-26,1.18794
2016-10-03,1.19625
2016-10-10,1.23448
2016-10-17,1.26681
2016-10-24,1.35126
2016-10-31,1.47735
2016-11-07,1.55759
2016-11-14,1.64645
2016-11-21,1.91349
2016-11-28,1.82411
2016-12-05,1.92622
2016-12-12,2.21907
2016-12-19,2.74118
2016-12-26,3.36449
2017-01-02,3.09646
2017-01-09,3.08534
2017-01-16,3.51494
2017-01-23,3.79409
2017-01-30,4.44615
2017-02-06,5.08147
2017-02-13,4.88888
2017-02-20,4.58299
2017-02-27,3.57119
2017-03-06,3.52625
2017-03-13,3.23895
2017-03-20,3.11897
2017-03-27,2.82118
2017-04-03,2.41137
2017-04-10,1.98396
2017-04-17,1.75376
2017-04-24,1.57651
2017-05-01,1.43415
2017-05-08,1.30549
2017-05-15,1.31696
2017-05-22,1.19845
2017-05-29,1.13579
2017-06-05,1.06985
2017-06-12,0.935031
2017-06-19,0.949484
2017-06-26,0.888967
2017-07-03,0.874644
2017-07-10,0.756687
2017-07-17,0.758115
2017-07-24,0.809676
